	blast_score	multiblast_score	n_hits	normalized_score	qry_cluster	qry_gene	qry_gene_end	qry_gene_start	qry_gene_strand	qry_genes_len	qry_strain	ref_cluster	ref_genes_len	ref_strain	svg
0	76	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	46157	44563	-1	1	antismash_GCA_001630395	CH476597.1.region005	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_8
1	76	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	44139	42400	1	1	antismash_GCA_001630395	CH476597.1.region005	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_8
2	76	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	41124	39579	-1	1	antismash_GCA_001630395	CH476597.1.region005	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_8
3	76	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	39486	38209	1	1	antismash_GCA_001630395	CH476597.1.region005	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_8
4	76	1.0	1	0.07142857142857142	LWBM01000026.1.region008	EAU36707	35867	33038	-1	1	antismash_GCA_001630395	CH476597.1.region005	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_8
5	76	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	32108	20001	-1	1	antismash_GCA_001630395	CH476597.1.region005	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_8
6	76	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	19969	19118	1	1	antismash_GCA_001630395	CH476597.1.region005	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_8
7	76	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	18811	17577	1	1	antismash_GCA_001630395	CH476597.1.region005	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_8
8	76	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	14016	13052	-1	1	antismash_GCA_001630395	CH476597.1.region005	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_8
9	76	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	12869	11516	1	1	antismash_GCA_001630395	CH476597.1.region005	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_8
10	76	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	10215	7753	1	1	antismash_GCA_001630395	CH476597.1.region005	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_8
11	76	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	6117	3838	1	1	antismash_GCA_001630395	CH476597.1.region005	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_8
12	76	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	2664	2481	1	1	antismash_GCA_001630395	CH476597.1.region005	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_8
13	76	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	2313	1599	-1	1	antismash_GCA_001630395	CH476597.1.region005	16	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_8
14	X	X	X	X	X	EAU36717	51106	48685	1	X	NIH	CH476597.1.region005	X	NIH	X
15	X	X	X	X	X	EAU36716	47897	46159	1	X	NIH	CH476597.1.region005	X	NIH	X
16	X	X	X	X	X	EAU36715	45108	43704	-1	X	NIH	CH476597.1.region005	X	NIH	X
17	X	X	X	X	X	EAU36714	42809	41828	-1	X	NIH	CH476597.1.region005	X	NIH	X
18	X	X	X	X	X	EAU36713	41268	39842	1	X	NIH	CH476597.1.region005	X	NIH	X
19	X	X	X	X	X	EAU36712	38601	36932	1	X	NIH	CH476597.1.region005	X	NIH	X
20	X	X	X	X	X	EAU36711	36322	35525	-1	X	NIH	CH476597.1.region005	X	NIH	X
21	X	X	X	X	X	EAU36710	35003	33885	1	X	NIH	CH476597.1.region005	X	NIH	X
22	X	X	X	X	X	EAU36709	33349	31988	1	X	NIH	CH476597.1.region005	X	NIH	X
23	X	X	X	X	X	EAU36708	31701	30337	-1	X	NIH	CH476597.1.region005	X	NIH	X
24	X	X	X	X	X	EAU36707	30246	28611	1	X	NIH	CH476597.1.region005	X	NIH	X
25	X	X	X	X	X	EAU36706	28110	19949	-1	X	NIH	CH476597.1.region005	X	NIH	X
26	X	X	X	X	X	EAU36705	19255	17241	-1	X	NIH	CH476597.1.region005	X	NIH	X
27	X	X	X	X	X	EAU36704	15263	14187	1	X	NIH	CH476597.1.region005	X	NIH	X
28	X	X	X	X	X	EAU36703	13749	12509	1	X	NIH	CH476597.1.region005	X	NIH	X
29	X	X	X	X	X	EAU36702	11540	10491	-1	X	NIH	CH476597.1.region005	X	NIH	X
30	373	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	46157	44563	-1	1	antismash_GCA_001630395	CH476607.1.region003	8	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_7
31	373	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	44139	42400	1	1	antismash_GCA_001630395	CH476607.1.region003	8	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_7
32	373	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	41124	39579	-1	1	antismash_GCA_001630395	CH476607.1.region003	8	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_7
33	373	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	39486	38209	1	1	antismash_GCA_001630395	CH476607.1.region003	8	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_7
34	373	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	35867	33038	-1	1	antismash_GCA_001630395	CH476607.1.region003	8	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_7
35	373	1.0	1	0.07142857142857142	LWBM01000026.1.region008	EAU30237	32108	20001	-1	1	antismash_GCA_001630395	CH476607.1.region003	8	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_7
36	373	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	19969	19118	1	1	antismash_GCA_001630395	CH476607.1.region003	8	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_7
37	373	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	18811	17577	1	1	antismash_GCA_001630395	CH476607.1.region003	8	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_7
38	373	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	14016	13052	-1	1	antismash_GCA_001630395	CH476607.1.region003	8	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_7
39	373	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	12869	11516	1	1	antismash_GCA_001630395	CH476607.1.region003	8	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_7
40	373	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	10215	7753	1	1	antismash_GCA_001630395	CH476607.1.region003	8	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_7
41	373	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	6117	3838	1	1	antismash_GCA_001630395	CH476607.1.region003	8	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_7
42	373	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	2664	2481	1	1	antismash_GCA_001630395	CH476607.1.region003	8	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_7
43	373	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	2313	1599	-1	1	antismash_GCA_001630395	CH476607.1.region003	8	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_7
44	X	X	X	X	X	EAU30237	68473	59427	1	X	NIH	CH476607.1.region003	X	NIH	X
45	X	X	X	X	X	EAU30236	58370	56881	1	X	NIH	CH476607.1.region003	X	NIH	X
46	X	X	X	X	X	EAU30235	56375	55309	-1	X	NIH	CH476607.1.region003	X	NIH	X
47	X	X	X	X	X	EAU30234	53982	52992	1	X	NIH	CH476607.1.region003	X	NIH	X
48	X	X	X	X	X	EAU30233	51957	49917	1	X	NIH	CH476607.1.region003	X	NIH	X
49	X	X	X	X	X	EAU30232	48787	45888	-1	X	NIH	CH476607.1.region003	X	NIH	X
50	X	X	X	X	X	EAU30231	45347	43148	1	X	NIH	CH476607.1.region003	X	NIH	X
51	X	X	X	X	X	EAU30230	40878	39303	-1	X	NIH	CH476607.1.region003	X	NIH	X
52	549	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	46157	44563	-1	1	antismash_GCA_001630395	CH476597.1.region005	9	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_6
53	549	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	44139	42400	1	1	antismash_GCA_001630395	CH476597.1.region005	9	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_6
54	549	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	41124	39579	-1	1	antismash_GCA_001630395	CH476597.1.region005	9	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_6
55	549	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	39486	38209	1	1	antismash_GCA_001630395	CH476597.1.region005	9	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_6
56	549	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	35867	33038	-1	1	antismash_GCA_001630395	CH476597.1.region005	9	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_6
57	549	1.0	1	0.07142857142857142	LWBM01000026.1.region008	EAU36720	32108	20001	-1	1	antismash_GCA_001630395	CH476597.1.region005	9	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_6
58	549	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	19969	19118	1	1	antismash_GCA_001630395	CH476597.1.region005	9	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_6
59	549	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	18811	17577	1	1	antismash_GCA_001630395	CH476597.1.region005	9	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_6
60	549	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	14016	13052	-1	1	antismash_GCA_001630395	CH476597.1.region005	9	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_6
61	549	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	12869	11516	1	1	antismash_GCA_001630395	CH476597.1.region005	9	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_6
62	549	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	10215	7753	1	1	antismash_GCA_001630395	CH476597.1.region005	9	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_6
63	549	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	6117	3838	1	1	antismash_GCA_001630395	CH476597.1.region005	9	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_6
64	549	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	2664	2481	1	1	antismash_GCA_001630395	CH476597.1.region005	9	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_6
65	549	1.0	1	0.07142857142857142	LWBM01000026.1.region008	nohomolog	2313	1599	-1	1	antismash_GCA_001630395	CH476597.1.region005	9	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_6
66	X	X	X	X	X	EAU36720	65552	57370	1	X	NIH	CH476597.1.region005	X	NIH	X
67	X	X	X	X	X	EAU36719	55850	53746	-1	X	NIH	CH476597.1.region005	X	NIH	X
68	X	X	X	X	X	EAU36718	52899	51891	-1	X	NIH	CH476597.1.region005	X	NIH	X
75	623	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	46157	44563	-1	2	antismash_GCA_001630395	CH476597.1.region009	6	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_5
76	623	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	44139	42400	1	2	antismash_GCA_001630395	CH476597.1.region009	6	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_5
77	623	1.0	1	0.14285714285714285	LWBM01000026.1.region008	nohomolog	41124	39579	-1	2	antismash_GCA_001630395	CH476597.1.region009	6	NIH	antismashGCA001630395/LWBM010000261region008/svg/clusterblast1_5
